name,ring,quadrant,isNew,description  
Jenkins,adopt,Tool,FALSE,"CI Tooling - Automated deployment & testing<br>Used for EP continuous integration and delivery for all ESP environments (dev, testing, staging, stagingref and production)"
Bitbucket,adopt,Tool,FALSE,Source Code Management<br>Used for EP source code management and works as primary start point for continuous delivery.
JIRA,adopt,Tool,FALSE,Ticketing and Issue management for Agile<br>Used for Ticketing and Issue management with JIRA agile addon within EP
Confluence,adopt,Tool,FALSE,Collaboration and Documentation<br>Used for documentation and collaboration within EP
Git GUI,adopt,Tool,FALSE,"Git revision control client GUI<br>Other alternate tool used are Tortoise GIT SourceTree (Required user to register on atlassian)"
Git,trial,Tool,FALSE,"Version control system<br>Used by dev/qa/ops for code commit/push/pull, it is generally used with Tortoise Git or SourceTree"
Maven,adopt,Tool,FALSE,Build and Deploy tool used for APIs<br>Used for API build and deploy to Apigee Edge environments on Jenkins. Not directly used by any audience. In some cases developers need to set it up for API templates.
ANT,assess,Tool,FALSE,Build tool used for API testing<br>Used for Jmeter report generation and parsing JSTL files on Jenkins. Not directly used by any audience.
Groovy,adopt,Languages & Frameworks,FALSE,Jenkins job programming<br>Used for several Jenkins job programming and orchestration. Not directly used by any audience.
Node.js,trial,Languages & Frameworks,FALSE,Jenkins job programming and stubbing<br>Used for several Jenkins job programming and orchestration. Also used by some developers to program new utility. It is also used for creating policy resources.
Jmeter,adopt,Tool,FALSE,API function and performance testing<br>Used for functional and performance tests. Jmeter test scripts are integrated with Jenkins jobs for auto functional test invocation. Testers use Jmeter GUI or CLI while developing test scripts.
Selenium,adopt,Languages & Frameworks,FALSE,Automated Browser Testing - Dev Portal<br>Used for automated browser testing for Dev Portal. The invocation is done with Maven which is integrated with Jenkins for auto Dev Portal test runs.
Cucumber,trial,Tool,FALSE,Automated tests written in a behavior-driven development (BDD) style - Dev Portal<br>Used for BDD style listing of Dev Portal test cases. The invocation is done with Maven.
Phantomjs,assess,Languages & Frameworks,FALSE,PhantomJS is a headless WebKit scriptable with a JavaScript API - Dev Portal<br>Used as headless web driver for selenium test runs for Dev Portal
phpcs,adopt,Tool,FALSE,"PHP Code sniffing tokenizes PHP, JavaScript and CSS files and detects violations of a defined set of coding standards - DevPortal<br>Used for Dev Portal source code analysis and generated checkstyle reports integrated with Jenkins auto deploy jobs."
Sonarqube,adopt,Tool,FALSE,"Continuous inspection of API code quality<br>Used for API code quality inspection. Currently usage is only restricted to one scrum team, Scrum-E."
dependency matrix utility,assess,Tool,TRUE,Web application to represent and list the API dependencies and config information<br>A Node.js based web utility developed by Scrum-C for representation and listing of API dependencies and configuration information. Developed In-house. Not widely used by all scrums. Utlity need to be enhanced for production readiness to meet Operational and Security requirements.
Icinga,adopt,Tool,FALSE,API health monitoring tool<br>API health monitoring tool for production.
Nagios,trial,Tool,FALSE,API health monitoring tool<br>API health monitoring and notification tools for production. And replace Nagios eventually.
